,title,link
0,Statistics (disambiguation),https://en.wikipedia.org/wiki/Statistics_(disambiguation)
1,Outline of statistics,https://en.wikipedia.org/wiki/Outline_of_statistics
2,List of statisticians,https://en.wikipedia.org/wiki/List_of_statisticians
3,Glossary of probability and statistics,https://en.wikipedia.org/wiki/Glossary_of_probability_and_statistics
4,Notation in probability and statistics,https://en.wikipedia.org/wiki/Notation_in_probability_and_statistics
5,List of statistics journals,https://en.wikipedia.org/wiki/List_of_statistics_journals
6,Lists of statistics topics,https://en.wikipedia.org/wiki/Lists_of_statistics_topics
7,List of statistics articles,https://en.wikipedia.org/wiki/List_of_statistics_articles
8,Portal:Mathematics,https://en.wikipedia.org/wiki/Portal:Mathematics
9,Normal distribution,https://en.wikipedia.org/wiki/Normal_distribution
10,Probability density function,https://en.wikipedia.org/wiki/Probability_density_function
11,Central limit theorem,https://en.wikipedia.org/wiki/Central_limit_theorem
12,Scatter plot,https://en.wikipedia.org/wiki/Scatter_plot
13,Iris flower data set,https://en.wikipedia.org/wiki/Iris_flower_data_set
14,Data,https://en.wikipedia.org/wiki/Data
15,Statistical population,https://en.wikipedia.org/wiki/Statistical_population
16,Statistical model,https://en.wikipedia.org/wiki/Statistical_model
17,Statistical survey,https://en.wikipedia.org/wiki/Statistical_survey
18,Experimental design,https://en.wikipedia.org/wiki/Experimental_design
19,Census,https://en.wikipedia.org/wiki/Census
20,Statistician,https://en.wikipedia.org/wiki/Statistician
21,Sample (statistics),https://en.wikipedia.org/wiki/Sample_(statistics)
22,Experimental study,https://en.wikipedia.org/wiki/Experimental_study
23,Observational study,https://en.wikipedia.org/wiki/Observational_study
24,Data analysis,https://en.wikipedia.org/wiki/Data_analysis
25,Descriptive statistics,https://en.wikipedia.org/wiki/Descriptive_statistics
26,Index (statistics),https://en.wikipedia.org/wiki/Index_(statistics)
27,Mean,https://en.wikipedia.org/wiki/Mean
28,Standard deviation,https://en.wikipedia.org/wiki/Standard_deviation
29,Statistical inference,https://en.wikipedia.org/wiki/Statistical_inference
30,Central tendency,https://en.wikipedia.org/wiki/Central_tendency
31,Statistical dispersion,https://en.wikipedia.org/wiki/Statistical_dispersion
32,Mathematical statistics,https://en.wikipedia.org/wiki/Mathematical_statistics
33,Probability theory,https://en.wikipedia.org/wiki/Probability_theory
34,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing
35,Alternative hypothesis,https://en.wikipedia.org/wiki/Alternative_hypothesis
36,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
37,Type I error,https://en.wikipedia.org/wiki/Type_I_error
38,Type II error,https://en.wikipedia.org/wiki/Type_II_error
39,Bias (statistics),https://en.wikipedia.org/wiki/Bias_(statistics)
40,Missing data,https://en.wikipedia.org/wiki/Missing_data
41,Censoring (statistics),https://en.wikipedia.org/wiki/Censoring_(statistics)
42,Outline of statistics,https://en.wikipedia.org/wiki/Outline_of_statistics
43,Data,https://en.wikipedia.org/wiki/Data
44,Mathematics,https://en.wikipedia.org/wiki/Mathematics
45,Statistical population,https://en.wikipedia.org/wiki/Statistical_population
46,Census,https://en.wikipedia.org/wiki/Census
47,Descriptive statistics,https://en.wikipedia.org/wiki/Descriptive_statistics
48,Mean,https://en.wikipedia.org/wiki/Mean
49,Standard deviation,https://en.wikipedia.org/wiki/Standard_deviation
50,Continuous probability distribution,https://en.wikipedia.org/wiki/Continuous_probability_distribution
51,Categorical data,https://en.wikipedia.org/wiki/Categorical_data
52,Sampling (statistics),https://en.wikipedia.org/wiki/Sampling_(statistics)
53,Experiment,https://en.wikipedia.org/wiki/Experiment
54,Inferential statistics,https://en.wikipedia.org/wiki/Inferential_statistics
55,Hypothesis testing,https://en.wikipedia.org/wiki/Hypothesis_testing
56,Estimation theory,https://en.wikipedia.org/wiki/Estimation_theory
57,Association (statistics),https://en.wikipedia.org/wiki/Association_(statistics)
58,Correlation and dependence,https://en.wikipedia.org/wiki/Correlation_and_dependence
59,Regression analysis,https://en.wikipedia.org/wiki/Regression_analysis
60,Forecasting,https://en.wikipedia.org/wiki/Forecasting
61,Prediction,https://en.wikipedia.org/wiki/Prediction
62,Extrapolation,https://en.wikipedia.org/wiki/Extrapolation
63,Interpolation,https://en.wikipedia.org/wiki/Interpolation
64,Time series,https://en.wikipedia.org/wiki/Time_series
65,Spatial data analysis,https://en.wikipedia.org/wiki/Spatial_data_analysis
66,Data mining,https://en.wikipedia.org/wiki/Data_mining
67,Mathematical statistics,https://en.wikipedia.org/wiki/Mathematical_statistics
68,Mathematics,https://en.wikipedia.org/wiki/Mathematics
69,Mathematical analysis,https://en.wikipedia.org/wiki/Mathematical_analysis
70,Linear algebra,https://en.wikipedia.org/wiki/Linear_algebra
71,Stochastic analysis,https://en.wikipedia.org/wiki/Stochastic_analysis
72,Differential equations,https://en.wikipedia.org/wiki/Differential_equations
73,Measure-theoretic probability theory,https://en.wikipedia.org/wiki/Measure-theoretic_probability_theory
74,Gerolamo Cardano,https://en.wikipedia.org/wiki/Gerolamo_Cardano
75,History of statistics,https://en.wikipedia.org/wiki/History_of_statistics
76,Founders of statistics,https://en.wikipedia.org/wiki/Founders_of_statistics
77,Mathematics in medieval Islam,https://en.wikipedia.org/wiki/Mathematics_in_medieval_Islam
78,Cryptographers,https://en.wikipedia.org/wiki/Cryptographers
79,Islamic Golden Age,https://en.wikipedia.org/wiki/Islamic_Golden_Age
80,Al-Khalil ibn Ahmad al-Farahidi,https://en.wikipedia.org/wiki/Al-Khalil_ibn_Ahmad_al-Farahidi
81,Arabic language,https://en.wikipedia.org/wiki/Arabic_language
82,Frequency analysis,https://en.wikipedia.org/wiki/Frequency_analysis
83,Encrypted,https://en.wikipedia.org/wiki/Encrypted
84,Statistical inference,https://en.wikipedia.org/wiki/Statistical_inference
85,Code,https://en.wikipedia.org/wiki/Code
86,Ibn Adlan,https://en.wikipedia.org/wiki/Ibn_Adlan
87,Sample size,https://en.wikipedia.org/wiki/Sample_size
88,Natural and Political Observations upon the Bills of Mortality,https://en.wikipedia.org/wiki/Natural_and_Political_Observations_upon_the_Bills_of_Mortality
89,John Graunt,https://en.wikipedia.org/wiki/John_Graunt
90,History of statistics,https://en.wikipedia.org/wiki/History_of_statistics#Etymology
91,Probability theory,https://en.wikipedia.org/wiki/Probability_theory
92,Gerolamo Cardano,https://en.wikipedia.org/wiki/Gerolamo_Cardano
93,Blaise Pascal,https://en.wikipedia.org/wiki/Blaise_Pascal
